,acc,latency,acc/latency,tot_block,tot_24,tot_40,tot_80,tot_112,tot_160,avg_e_24,avg_e_40,avg_e_80,avg_e_112,avg_e_160,tot_e_24,tot_e_40,tot_e_80,tot_e_112,tot_e_160,tot_e_16_24,tot_e_24_40,tot_e_40_80,tot_e_80_112,tot_e_112_160,avg_k_24,avg_k_40,avg_k_80,avg_k_112,avg_k_160,tot_k_24,tot_k_40,tot_k_80,tot_k_112,tot_k_160,tot_k_16_24,tot_k_24_40,tot_k_40_80,tot_k_80_112,tot_k_112_160,mbcv_e2_k3_24,mbcv_e2_k5_24,mbcv_e2_k7_24,mbcv_e3_k3_24,mbcv_e3_k5_24,mbcv_e3_k7_24,mbcv_e4_k3_24,mbcv_e4_k5_24,mbcv_e4_k7_24,mbcv_e6_k3_24,mbcv_e6_k5_24,mbcv_e6_k7_24,se_e2_k3_40,se_e2_k5_40,se_e2_k7_40,se_e3_k3_40,se_e3_k5_40,se_e3_k7_40,se_e4_k3_40,se_e4_k5_40,se_e4_k7_40,se_e6_k3_40,se_e6_k5_40,se_e6_k7_40,mbcv_e2_k3_80,mbcv_e2_k5_80,mbcv_e2_k7_80,mbcv_e3_k3_80,mbcv_e3_k5_80,mbcv_e3_k7_80,mbcv_e4_k3_80,mbcv_e4_k5_80,mbcv_e4_k7_80,mbcv_e6_k3_80,mbcv_e6_k5_80,mbcv_e6_k7_80,se_e2_k3_112,se_e2_k5_112,se_e2_k7_112,se_e3_k3_112,se_e3_k5_112,se_e3_k7_112,se_e4_k3_112,se_e4_k5_112,se_e4_k7_112,se_e6_k3_112,se_e6_k5_112,se_e6_k7_112,se_e2_k3_160,se_e2_k5_160,se_e2_k7_160,se_e3_k3_160,se_e3_k5_160,se_e3_k7_160,se_e4_k3_160,se_e4_k5_160,se_e4_k7_160,se_e6_k3_160,se_e6_k5_160,se_e6_k7_160,mbcv_e2_k3_24_I,mbcv_e2_k5_24_I,mbcv_e2_k7_24_I,mbcv_e3_k3_24_I,mbcv_e3_k5_24_I,mbcv_e3_k7_24_I,mbcv_e4_k3_24_I,mbcv_e4_k5_24_I,mbcv_e4_k7_24_I,mbcv_e6_k3_24_I,mbcv_e6_k5_24_I,mbcv_e6_k7_24_I,se_e2_k3_40_I,se_e2_k5_40_I,se_e2_k7_40_I,se_e3_k3_40_I,se_e3_k5_40_I,se_e3_k7_40_I,se_e4_k3_40_I,se_e4_k5_40_I,se_e4_k7_40_I,se_e6_k3_40_I,se_e6_k5_40_I,se_e6_k7_40_I,mbcv_e2_k3_80_I,mbcv_e2_k5_80_I,mbcv_e2_k7_80_I,mbcv_e3_k3_80_I,mbcv_e3_k5_80_I,mbcv_e3_k7_80_I,mbcv_e4_k3_80_I,mbcv_e4_k5_80_I,mbcv_e4_k7_80_I,mbcv_e6_k3_80_I,mbcv_e6_k5_80_I,mbcv_e6_k7_80_I,se_e2_k3_112_I,se_e2_k5_112_I,se_e2_k7_112_I,se_e3_k3_112_I,se_e3_k5_112_I,se_e3_k7_112_I,se_e4_k3_112_I,se_e4_k5_112_I,se_e4_k7_112_I,se_e6_k3_112_I,se_e6_k5_112_I,se_e6_k7_112_I,se_e2_k3_160_I,se_e2_k5_160_I,se_e2_k7_160_I,se_e3_k3_160_I,se_e3_k5_160_I,se_e3_k7_160_I,se_e4_k3_160_I,se_e4_k5_160_I,se_e4_k7_160_I,se_e6_k3_160_I,se_e6_k5_160_I,se_e6_k7_160_I
0,72.8,111.04431390762329,0.6555941266885725,12,2,2,3,2,3,4.0,6.0,2.5,6.0,2.5,4,6,5,6,5,4,4,6,2,4,3.0,5.0,5.0,7.0,7.0,3,5,10,7,14,5,5,3,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,73.2,142.78750777244568,0.5126498889290491,13,3,3,2,3,2,3.5,4.5,2.0,4.0,3.0,7,9,2,8,3,6,6,4,6,2,4.0,6.0,7.0,5.0,5.0,8,12,7,10,5,3,3,3,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2,72.9,107.70554423332214,0.6768453798634264,12,2,2,2,3,3,4.0,2.0,6.0,4.0,3.5,4,2,6,8,7,2,3,6,2,3,7.0,7.0,7.0,6.0,3.0,7,7,7,12,6,5,3,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
3,74.3,138.4218466281891,0.536764981900401,14,3,3,3,3,2,3.0,5.0,3.5,5.0,3.0,6,10,7,10,3,4,3,4,6,3,5.0,3.0,5.0,4.0,7.0,10,6,10,8,7,7,5,7,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,75.1,131.6629421710968,0.570395881799505,18,3,4,4,4,3,2.0,2.6666666666666665,5.0,3.0,5.0,4,8,15,9,10,3,4,3,6,3,3.0,5.0,5.0,4.333333333333333,6.0,6,15,15,13,12,3,3,5,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,74.5,179.7813642024994,0.4143922276398227,17,4,3,3,3,4,4.0,3.5,4.5,2.5,4.0,12,7,9,5,12,6,6,2,4,3,4.333333333333333,6.0,4.0,5.0,5.666666666666667,13,12,8,10,17,7,7,5,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
6,73.3,123.17228317260742,0.5951014149610353,13,2,2,4,3,2,4.0,2.0,3.6666666666666665,5.0,2.0,4,2,11,10,2,4,3,4,6,3,7.0,7.0,5.666666666666667,4.0,5.0,7,7,17,8,5,5,5,7,5,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,71.7,168.86834502220154,0.42459112150695516,14,4,4,2,2,2,3.6666666666666665,4.333333333333333,2.0,2.0,4.0,11,13,2,2,4,4,4,3,3,2,7.0,4.333333333333333,5.0,5.0,7.0,21,13,5,5,7,7,5,7,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,75.0,166.11905455589294,0.4514834267538241,18,4,3,4,3,4,3.6666666666666665,5.0,3.0,2.5,5.333333333333333,11,10,9,5,16,2,4,3,3,6,5.666666666666667,5.0,5.666666666666667,4.0,4.333333333333333,17,10,17,8,13,3,7,5,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
9,73.3,146.45315289497375,0.5005013449766136,17,4,4,4,2,3,3.6666666666666665,2.3333333333333335,4.0,2.0,4.0,11,7,12,2,8,4,4,3,3,4,5.666666666666667,4.333333333333333,4.333333333333333,3.0,4.0,17,13,13,3,8,3,5,3,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
